,term,term_id
1211,obtained,101211
1212,fourth,101212
1213,defend,101213
1214,10-minute,101214
1215,oral,101215
1216,presentation,101216
1217,discussion,101217
1218,jury,101218
1219,introduce,101219
1220,haematopoietic,101220
1221,normal,101221
1222,blood,101222
1223,kingston,101223
1224,ibms,101224
1225,registration,101225
1226,fit,101226
1227,commitment,101227
1228,immunology,101228
1229,either,101229
1230,haematology,101230
1231,carry,101231
1232,selling,101232
1233,point,101233
1234,job,101234
1235,promotion,101235
1236,employability,101236
1237,guest,101237
1238,speaker,101238
1239,organism,101239
1240,contributing,101240
1241,positive,101241
1242,meaningful,101242
1243,step,101243
1244,lead.designed,101244
1245,kind,101245
1246,city,101246
1247,glasgow,101247
1248,enables,101248
1249,employed,101249
1250,lab,101250
1251,attain,101251
1252,careers.gcu,101252
1253,three,101253
1254,covid-19,101254
1255,refocused,101255
1256,attention,101256
1257,increased,101257
1258,age-related,101258
1259,dementia,101259
1260,stroke,101260
1261,pulmonary,101261
1262,great,101262
1263,highly-relevant,101263
1264,internationally-renowned,101264
1265,track,101265
1266,record,101266
1267,world-leading,101267
1268,exploring,101268
1269,targeted,101269
1270,move,101270
1271,‘,101271
1272,size,101272
1273,lancaster,101273
1274,undertake,101274
1275,valuable,101275
1276,forge,101276
1277,relationship,101277
1278,sphere,101278
1279,fall,101279
1280,portfolio,101280
1281,brain,101281
1282,discovery,101282
1283,level,101283
1284,research-active,101284
1285,team,101285
1286,completing,101286
1287,immunohaematology,101287
1288,cellular,101288
1289,genomics,101289
1290,name,101290
1291,title,101291
1292,obtain,101292
1293,follows,101293
1294,ideally,101294
1295,suited,101295
1296,content,101296
1297,dental,101297
1298,veterinary,101298
1299,depending,101299
1300,studied,101300
1301,transfusion,101301
1302,additional,101302
1303,family,101303
1304,please,101304
1305,note,101305
1306,visa,101306
1307,summary,101307
1308,population-oriented,101308
1309,case-study,101309
1310,driven,101310
1311,generic,101311
1312,grant,101312
1313,proposal,101313
1314,plan,101314
1315,applying,101315
1316,structural,101316
1317,functional,101317
1318,organ,101318
1319,underlie,101319
1320,dynamic,101320
1321,save,101321
1322,rational,101322
1323,fight,101323
1324,serious,101324
1325,particularly,101325
1326,chemistry,101326
1327,affected,101327
1328,fascinating,101328
1329,endocrine,101329
1330,antenatal,101330
1331,complication,101331
1332,researching,101332
1333,rewarding,101333
1334,affect,101334
1335,well-recognised,101335
1336,evidence,101336
1337,inform,101337
1338,valued,101338
1339,encompasses,101339
1340,holistic,101340
1341,life-span,101341
1342,provision,101342
1343,intervention,101343
1344,haematologist,101344
1345,blood-forming,101345
1346,contribution,101346
1347,wide-ranging,101347
1348,sample,101348
1349,matching,101349
1350,donated,101350
1351,someone,101351
1352,countless,101352
1353,seen,101353
1354,devastating,101354
1355,transmission,101355
1356,aetiology,101356
1357,immune,101357
1358,responds,101358
1359,immunological,101359
1360,arise,101360
1361,reagent,101361
1362,immunotherapeutic,101362
1363,immunoassay,101363
1364,micro-organism,101364
1365,share,101365
1366,dealing,101366
1367,identifying,101367
1368,dangerous,101368
1369,microbe,101369
1370,stopping,101370
1371,spread,101371
1372,treating,101372
1373,life-saving,101373
1374,pertinent,101374
1375,light,101375
1376,zoonosis,101376
1377,prevalent,101377
1378,enrich,101378
1379,update,101379
1380,achieve,101380
1381,carefully,101381
1382,tailored,101382
1383,bioscience,101383
1384,unrivalled,101384
1385,top,101385
1386,class,101386
1387,chance,101387
1388,flexible,101388
1389,doctorate,101389
1390,majority,101390
1391,undertaken,101391
1392,elearning,101392
1393,attendance,101393
1394,nottingham,101394
1395,trent,101395
1396,allows,101396
1397,undertaking,101397
1398,requires,101398
1399,self-disciplined,101399
1400,engaging,101400
1401,self-guided,101401
1402,specially,101402
1403,multi-disciplinary,101403
1404,regarding,101404
1405,toxicological,101405
1406,insult,101406
1407,poisoning,101407
1408,anaemia,101408
1409,meningitis,101409
1410,contributor,101410
1411,senior,101411
1412,pathway,101412
1413,keen,101413
1414,renowned,101414
1415,present,101415
1416,ample,101416
1417,destination,101417
1418,leaver,101418
1419,dlhe,101419
1420,found,101420
1421,six,101421
1422,explanation,101422
1423,extensive,101423
1424,biocity,101424
1425,groundbreaking,101425
1426,centre,101426
1427,largest,101427
1428,incubation,101428
1429,europe,101429
1430,investigation,101430
1431,staple,101431
1432,wolverhampton,101432
1433,quarter,101433
1434,starting,101434
1435,curious,101435
1436,determined,101436
1437,fascinated,101437
1438,clinic,101438
1439,mb,101439
1440,might,101440
1441,exactly,101441
1442,being,101442
1443,expectancy,101443
1444,resulted,101444
1445,epidemic,101445
1446,recognised,101446
1447,accurate,101447
1448,administration,101448
1449,expensive,101449
1450,turn,101450
1451,devised,101451
1452,engage,101452
1453,debate,101453
1454,contains,101454
1455,specific,101455
1456,endocrinology,101456
1457,metabolism,101457
1458,physiology,101458
1459,expand,101459
1460,pharmaceutical,101460
1461,immunopathology,101461
1462,immunotherapy,101462
1463,immunodiagnosis,101463
1464,competence,101464
1465,execution,101465
1466,laboratory-based,101466
1467,proactive,101467
1468,evaluation,101468
1469,implementation,101469
1470,perceiving,101470
1471,antibiotic,101471
1472,underpinned,101472
1473,signalling,101473
1474,flexibility,101474
1475,newly,101475
1476,crucial,101476
1477,appropriate,101477
1478,m.sc,101478
1479,st,101479
1480,james,101480
1481,concurrently,101481
1482,five,101482
1483,provided,101483
1484,actual,101484
1485,running,101485
1486,ii,101486
1487,iii,101487
1488,iv,101488
1489,translational,101489
1490,oncology,101490
1491,v,101491
1492,submit,101492
1493,dissertation,101493
1494,applicant,101494
1495,notified,101495
1496,match,101496
1497,selecting,101497
1498,advice,101498
1499,alternatively,101499
1500,commercialisation,101500
1501,continue,101501
1502,and/or,101502
1503,qualify,101503
1504,conjunction,101504
1505,available,101505
1506,epi,101506
1507,microorganism,101507
1508,intestine,101508
1509,answer,101509
1510,question,101510
1511,preclinical,101511
1512,encounter,101512
1513,faculty,101513
1514,overcome,101514
1515,drug-resistant,101515
1516,microbial,101516
1517,heal,101517
1518,firstly,101518
1519,unlike,101519
1520,dedicated,101520
1521,suite,101521
1522,summer,101522
1523,secondly,101523
1524,capture,101524
1525,excitement,101525
1526,substantial,101526
1527,mean,101527
1528,clinical-oriented,101528
1529,suit,101529
1530,aspiration,101530
1531,perfect,101531
1532,prove,101532
1533,attractive,101533
1534,employer,101534
1535,health-care,101535
1536,experimental,101536
1537,unit,101537
1538,literary,101538
1539,report-writing,101539
1540,biomed,101540
1541,worker,101541
1542,boosting,101542
1543,employee,101543
1544,managed,101544
1545,consortium,101545
1546,trust,101546
1547,joint,101547
1548,venture,101548
1549,england,101549
1550,greenwich,101550
